open_time,close_time,symbol,action,lots,sl,tp,open,close,pips,profit,duration_seconds,gain_pct
2026-08-14 19:15:00,2026-08-14 19:15:17,XAUUSD,Buy,0.03,,,4389.84,4390.64,80,2.18,17,0.13
2026-08-14 19:00:00,2026-08-14 19:01:00,XAUUSD,Buy,0.03,,,4391.93,4393.38,145,4.13,60,0.25
2026-08-13 03:45:00,2026-08-13 03:46:00,XAUUSD,Buy,0.03,,,4440.25,4439.24,-101,-3.25,60,-0.20
2026-08-13 03:45:14,2026-08-13 03:46:00,XAUUSD,Buy,0.03,,,4437.53,4439.24,171,4.91,46,0.30
2026-08-11 03:39:00,2026-08-11 03:45:00,XAUUSD,Buy,0.03,,,4410.86,4414.19,333,9.77,360,0.60
2026-08-11 03:33:00,2026-08-11 03:45:00,XAUUSD,Buy,0.03,,,4412.78,4413.78,100,2.78,720,0.17
2026-08-11 03:41:00,2026-08-11 03:45:00,XAUUSD,Buy,0.03,,,4408.81,4414.19,538,15.92,240,0.97
2026-08-11 03:30:00,2026-08-11 03:45:00,XAUUSD,Buy,0.03,,,4414.20,4414.19,-1,-0.25,900,-0.02
2026-08-11 03:15:00,2026-08-11 03:17:00,XAUUSD,Buy,0.03,,,4405.46,4407.45,199,5.75,120,0.35
2026-08-11 03:02:00,2026-08-11 03:04:00,XAUUSD,Buy,0.03,,,4399.48,4402.30,282,8.24,120,0.51
